Symbol;Company Name
BAVA.CO;Bavarian Nordic A/S
DEMANT.CO;Demant A/S
COLO-B.CO;Coloplast A/S
ORSTED.CO;Ørsted A/S
CARL-B.CO;Carlsberg A/S
SIM.CO;SimCorp A/S
CHR.CO;Chr. Hansen Holding A/S
GMAB.CO;Genmab A/S
NOVO-B.CO;Novo Nordisk A/S
NZYM-B.CO;Novozymes A/S
ISS.CO;ISS A/S
MAERSK-B.CO;A.P. Møller - Mærsk (B) A/S
FLS.CO;FLSmidth & Co. A/S
LUN.CO;H. Lundbeck A/S
DSV.CO;DSV A/S
TRYG.CO;Tryg A/S
VWS.CO;Vestas Wind Systems A/S
MAERSK-A.CO;A.P. Møller - Mærsk (A) A/S
PNDORA.CO;Pandora A/S
RBREW.CO;Royal Unibrew A/S
NETC.CO;Netcompany Group A/S
GN.CO;GN Store Nord A/S
DANSKE.CO;Danske Bank A/S
ROCK-B.CO;ROCKWOOL International A/S
AMBU-B.CO;Ambu A/S
